,Lat,Long
Mattie Lively Elementary School,32.4695,-81.78664
Nevils Elementary School,32.2708,-81.76048
Portal Middle/High School,32.53753,-81.93566
Sallie Zetterower Elementary School,32.43812,-81.77051
Southeast Bulloch High School,32.3637,-81.67862
Statesboro High School,32.44379,-81.76361
Stilson Elementary School,32.28567,-81.47089
