,Lat,Long
Colham Ferry Elementary School,33.847996670,-83.409200000
Oconee County Elementary School,33.871338330,-83.443780000
Oconee County Middle School,33.873365000,-83.444145000
Oconee County Primary School,33.871925670,-83.446806670
