,Lat,Long
Altama Elementary School,31.209670000,-81.482460000
Brunswick High School,31.183965543,-81.492276043
Burroughs-Molette Elementary School,31.158282670,-81.488094670
Glyndale Elementary School,31.231270000,-81.521750000
Glynn Academy,31.148264000,-81.490056000
Golden Isles Elementary School,31.243362000,-81.511520500
Goodyear Elementary School,31.173631000,-81.475144000
Oglethorpe Point Elementary School,31.218515000,-81.380522000
St. Simons Elementary School,31.136390000,-81.387230170
