,Lat,Long
Carver Middle School,33.795887000,-83.675559000
Loganville Elementary School,33.841762000,-83.896983000
Loganville Middle School,33.829655000,-83.885328000
Walker Park Elementary School,33.837290000,-83.732510000
Walnut Grove Elementary School,33.728710000,-83.854420000
