,Lat,Long
Arthur Williams Middle School,31.583731170,-81.875982000
Bacon Elementary School,31.616661000,-81.903167000
Jesup Elementary School,31.598310000,-81.878670000
Martha Puckett Middle School,31.616808170,-81.914921500
Odum Elementary School,31.668991670,-82.030690000
Screven Elementary School,31.486427170,-82.021610330
