,Lat,Long
Wilkinson County Elementary School,32.812873110,-83.187639521
Wilkinson County High School,32.826397170,-83.211276330
Wilkinson County Middle School,32.826423670,-83.211185170
Wilkinson County Primary School,32.812873110,-83.187639521
