,Lat,Long
Clyattville Elementary School,30.687664000,-83.316812000
Hahira Elementary School,30.988643000,-83.356856000
Hahira Middle School,30.990628000,-83.366688000
Lake Park Elementary School,30.686839000,-83.184721000
Lowndes High School,30.837602170,-83.325761330
Lowndes Middle School,30.790838330,-83.262246830
Moulton-Branch Elementary School,30.817158330,-83.229616670
Pine Grove Elementary School,30.941680000,-83.241590000
