,Lat,Long
Charles Spencer Elementary School,31.444870000,-83.496693330
J. T. Reddick Elementary School,31.437324830,-83.510337000
Matt Wilson Elementary School,31.442845000,-83.521264000
Omega Elementary School,31.343490000,-83.601580000
