,Lat,Long
Camden County High School,30.81571,-81.64993
Camden Middle School,30.79479,-81.64366
Crooked River Elementary School,30.80277,-81.57446
David L Rainer Elementary School,30.77749,-81.66372
Kingsland Elementary School,30.80083,-81.71443
Mary Lee Clark Elementary School,30.76901,-81.58989
Matilda Harris Elementary School,30.79762,-81.65423
Saint Marys Elementary School,30.7281,-81.54673
Woodbine Elementary School,30.96335,-81.71212
