,Lat,Long
Bainbridge High School,30.897790000,-84.557910000
Hutto Middle School,30.908350000,-84.559280000
John Johnson Elementary School,30.885480000,-84.576210000
Jones-Wheat Elementary School,30.905475100,-84.555897600
Potter Street Elementary School,30.899750000,-84.574160000
