,Lat,Long
Cedartown High School,34.019549000,-85.221839000
Cherokee Elementary School,34.037033330,-85.261580000
Eastside Elementary School,34.016671000,-85.067674000
Northside Elementary,34.016573830,-85.253537670
Westside Elementary School,34.019033830,-85.226217670
