,Address
Camden County High School,1585 Laurel Island Parkway Kingsland   GA 31548-9789
Camden Middle School,1300 Middle School Road Kingsland   GA 31548-8711
Crooked River Elementary School,3570 Charlie Smith Sr. Highwa St. Marys   GA 31558
David L Rainer Elementary School,850 May Creek Drive Kingsland   GA 31548-9181
Kingsland Elementary School,900 West King Avenue Kingsland   GA 31548-8438
Mary Lee Clark Elementary School,2900 Mickler Drive St. Marys   GA 31558-3916
Matilda Harris Elementary School,1100 Lake Boulevard Kingsland   GA 31548
Saint Marys Elementary School,510 Osborne Street St. Marys   GA 31558-8404
Woodbine Elementary School,495 Broadwood Road Woodbine   GA 31569-3549
