,Address
Brantley County High School,RR 1 Box 4 Nahunta   GA 31553-338
Brantley County Middle School,RR 1 Box 4D Nahunta   GA 31553-612
Hoboken Elementary School,RR 1 Box N-1 Hoboken   GA 31542-9763
Nahunta Elementary School,RR 2 Box 24 Nahunta   GA 31553-1209
Nahunta Primary School,RR 2 Box 23 Nahunta   GA 31553-128
