,Address
Berrien Elementary School,305 North Ann Street Nashville   GA 31639-1703
Berrien Middle School,800 Tifton Road Nashville   GA 31639-8
Berrien Primary School,810 South Dogwood Drive Nashville   GA 31639-5038
