,Address
Adairsville Elementary School,122 King Street Adairsville   GA 30103-948
Cass High School,738 Grassdale Road NW Cartersville   GA 30120-5007
Cass Middle School,195 Firetower Road Cartersville   GA 30120-4648
Emerson Elementary School,54 Seventh Street SE Emerson   GA 30137-132
Hamilton Crossing Elementary School,116 Hamilton Crossing Road NW Cartersville   GA 30120-4884
Mission Road Elementary School,1100 Mission Road SW Cartersville   GA 30120-5779
White Elementary School,1395 Cass-White Road NE White   GA 30184-38
