,Address
Burke County High School,1057 Perimeter Road Waynesboro   GA 30830
Burke County Middle School,356 Southside Drive Waynesboro   GA 30830-849
Waynesboro Primary School,352 Southside Drive Waynesboro   GA 30830-449
