,Address
Mattie Lively Elementary School,204 Debbie Drive Statesboro   GA 30458-4512
Nevils Elementary School,8483 Nevils-Groveland Road Statesboro   GA 30458-9806
Portal Middle/High School,27245 Highway 80 West Portal   GA 30450-217
Sallie Zetterower Elementary School,900 East Jones Avenue Statesboro   GA 30458-1037
Southeast Bulloch High School,9184 Brooklet/Denmark Highway Brooklet   GA 30415-68
Statesboro High School,10 Lester Road Statesboro   GA 30458-4700
Stilson Elementary School,15569 Highway 119 Brooklet   GA 30415-9803
