,Address
Bryan County Elementary School,104 Ash Branch Road Pembroke   GA 31321-857
Lanier Primary School,6024 Highway 280 East Ellabell   GA 31308-338
Richmond Hill High School,One Wildcat Drive Richmond Hill   GA 31324-1799
