,Address
Auburn Elementary School,1334 Sixth Avenue Auburn   GA 30011-1029
Bramlett Elementary School,622 Freeman-Brock Road Auburn   GA 30011-2602
Holsenbeck Elementary School,445 Holsenbeck School Road Winder   GA 30680-3749
Kennedy Elementary School,200 Matthews School Road Winder   GA 30680-1567
Russell Middle School,84 West Midland Avenue Winder   GA 30680-2500
Statham Elementary School,1970 Broad Street Statham   GA 30666-1700
Winder-Barrow High School,272 North Fifth Avenue Winder   GA 30680-4501
