,Address
Altamaha Elementary School,344 Altamaha School Road Baxley   GA 31513-9801
Appling County Elementary School,680 Blackshear Highway Baxley   GA 31513-9807
Appling County Middle School,2997 Blackshear Highway Baxley   GA 31513-5396
Appling County Primary School,678 Blackshear Highway Baxley   GA 31513-9807
Fourth District Elementary School,13396 Blackshear Highway SE Surrency   GA 31563-9802
